WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif.exp	delabel
sod-5	50,02980425	1,308636277	0,245076	5,339716159	9,30922E-08	0,002510604	UP	sod-5
nhr-8	789,5116975	-0,612605878	0,122760417	-4,990255775	6,02994E-07	0,008131072	DOWN	nhr-8
F42A10.7	521,6674213	1,51836169	0,318894799	4,761324727	1,92326E-06	0,017289493	UP	F42A10.7
Y38H6C.21	7,578572167	3,180515968	0,677598825	4,693803838	2,68171E-06	0,018080772	UP	Y38H6C.21
Y41C4A.32	91,36420147	2,776432757	0,604156018	4,595555904	4,31597E-06	0,02313651	UP	Y41C4A.32
srpr-1.1	29,08205578	2,358015934	0,517257301	4,558690482	5,14736E-06	0,02313651	UP	srpr-1.1
nhr-53	301,8776808	0,704237392	0,16475997	4,27432338	1,91719E-05	0,073863703	NO	
fmo-2	319,2139968	1,259964473	0,302939601	4,159127662	3,19465E-05	0,098390544	NO	
Y55B1BR.8	16,65587421	1,522441719	0,366600771	4,152860114	3,28345E-05	0,098390544	NO	
F44A6.5	302,7390482	0,78423234	0,193838384	4,045805194	5,21436E-05	0,140626028	NO	
Y75B12B.3	32,40389274	1,155722069	0,292038463	3,957431003	7,57602E-05	0,185743252	NO	
arf-1.1	28,97004946	1,776640065	0,457715837	3,88153505	0,000103799	0,233280025	NO	
B0272.4	1052,730029	0,530244301	0,138420336	3,830682079	0,000127789	0,240582684	NO	
his-42	30,96644062	1,324577476	0,345966938	3,828624445	0,000128861	0,240582684	NO	
K08D10.14	55,02466011	-0,705950704	0,185200326	-3,811822134	0,000137946	0,240582684	NO	
F46C5.10	40,54259791	0,983131716	0,258488511	3,803386518	0,000142731	0,240582684	NO	
Y25C1A.13	1856,116405	0,731516439	0,194262812	3,765602035	0,000166148	0,256755722	NO	
F55B12.10	18,550819	1,088931151	0,289773657	3,757867999	0,000171367	0,256755722	NO	
lact-6	32,26164971	1,356130424	0,364264486	3,722927917	0,000196926	0,279520566	NO	
fat-7	7,316926875	1,737502744	0,470203708	3,695212769	0,000219703	0,296258142	NO	
T23F2.4	60,4125388	1,052782662	0,287007899	3,668131319	0,00024433	0,308467945	NO	
F53F4.17	19,94893708	1,554003698	0,424522507	3,660592017	0,000251633	0,308467945	NO	
R13H4.7	97,52257236	0,55717907	0,153400435	3,632187026	0,000281029	0,32150179	NO	
Y17D7C.2	33,94422115	-0,586261365	0,161877	-3,621647093	0,000292733	0,32150179	NO	
R102.6	66,18521423	0,695177131	0,192723653	3,607118889	0,000309616	0,32150179	NO	
tbb-6	132,5131724	1,672791174	0,465538451	3,593239553	0,000326592	0,32150179	NO	
C34D4.10	27,5500071	-0,813529061	0,226500579	-3,591730594	0,000328489	0,32150179	NO	
C49G7.12	24,80102681	1,678172869	0,470854723	3,564099045	0,000365108	0,32150179	NO	
Y119C1B.12	7,57529615	2,560000879	0,718545891	3,562752094	0,000366987	0,32150179	NO	
his-32	695,0571271	0,880338966	0,247225322	3,560877014	0,000369618	0,32150179	NO	
Y48A6B.9	349,1380236	0,395445222	0,111123644	3,558605598	0,000372829	0,32150179	NO	
D1022.9	21,04546954	0,738993226	0,208016096	3,55257714	0,000381477	0,32150179	NO	
F27D4.1	6453,483791	0,579485879	0,163742765	3,539001423	0,000401644	0,328240261	NO	
Y48G8AR.3	1,417752188	-3,53944715	1,005544003	-3,519932633	0,000431656	0,342392412	NO	
K02A11.2	18,56557183	-0,761817872	0,217773312	-3,498215021	0,000468383	0,357042958	NO	
Y47H10A.5	137,524186	1,495590498	0,428245122	3,492370187	0,000478754	0,357042958	NO	
grl-24	120,7759775	0,57105996	0,163935524	3,483442424	0,00049501	0,357042958	NO	
C17C3.1	882,0970021	0,61452836	0,176633796	3,479109745	0,000503083	0,357042958	NO	
Y67D8C.6	34,62242302	1,001625825	0,290405077	3,449064439	0,000562532	0,379753872	NO	
hach-1	3566,945436	0,563552349	0,163409011	3,448722595	0,000563245	0,379753872	NO	
F13E9.14	9,859226743	2,053533327	0,59923941	3,426899655	0,000610515	0,399466144	NO	
F48C1.9	1,976613234	3,951126059	1,155347245	3,419860199	0,000626533	0,399466144	NO	
F32H5.3	33,05740306	1,116111664	0,327185497	3,411250416	0,000646657	0,399466144	NO	
clec-27	10,65378745	-0,859423591	0,252345809	-3,40573752	0,000659856	0,399466144	NO	
F56A11.5	905,5972904	0,358253414	0,10545348	3,39726499	0,00068063	0,399466144	NO	
clc-4	24,53898515	-1,016076663	0,299142547	-3,39663038	0,00068221	0,399466144	NO	
ugt-15	31,01760351	1,192716665	0,351721303	3,391084516	0,000696166	0,399466144	NO	
nas-18	1,141240185	-3,36085579	0,998488152	-3,365944585	0,00076282	0,407385959	NO	
C35A5.3	200,34074	0,674847039	0,200594764	3,364230586	0,000767574	0,407385959	NO	
F10D2.10	363,2455525	0,81109673	0,24129855	3,361382532	0,000775533	0,407385959	NO	
lips-6	987,453967	-1,027109629	0,305930219	-3,357333032	0,000786983	0,407385959	NO	
K03H4.5	1,140998059	-2,888023174	0,861494683	-3,352340101	0,000801315	0,407385959	NO	
B0205.14	12,20047786	1,712776152	0,511692257	3,347277839	0,000816094	0,407385959	NO	
ech-6	12165,00124	0,75215654	0,224770919	3,346324973	0,000818904	0,407385959	NO	
D2089.3	97,75603704	0,813691538	0,243451165	3,342319339	0,000830814	0,407385959	NO	
Y58A7A.5	217,3312309	0,852174661	0,255979071	3,329079436	0,000871335	0,419625836	NO	
Y94A7B.11	51,47158975	1,112180547	0,33492231	3,320712037	0,000897881	0,424823855	NO	
C54F6.5	76,48275283	0,889126361	0,268410261	3,312564725	0,000924447	0,429852067	NO	
sre-11	10,20656361	1,674850565	0,511105283	3,276918905	0,001049465	0,478205182	NO	
C06E1.11	31,06210594	0,721986657	0,221072157	3,265841651	0,001091393	0,478205182	NO	
C18H9.6	292,8379533	-0,54572603	0,167194829	-3,264012602	0,001098463	0,478205182	NO	
M60.4	2095,45818	0,80547296	0,246903968	3,262292483	0,001105151	0,478205182	NO	
F43C1.7	25,66628248	1,270022298	0,389667733	3,2592442	0,001117095	0,478205182	NO	
D1005.2	1756,983749	0,243287496	0,075309159	3,230516693	0,001235667	0,514044627	NO	
Y71F9AR.2	443,4224437	0,319681914	0,099086437	3,226293354	0,001254048	0,514044627	NO	
C23H5.8	1327,620519	1,037226019	0,32222342	3,218965333	0,00128654	0,514044627	NO	
srd-5	7,223154429	1,380151303	0,429094705	3,216425851	0,001297981	0,514044627	NO	
F42F12.3	527,0904496	0,612306699	0,190572447	3,212986496	0,001313625	0,514044627	NO	
F33C8.5	6,451633739	1,699636004	0,529045414	3,212646702	0,00131518	0,514044627	NO	
gst-15	130,1163685	0,545057376	0,170113576	3,20407923	0,001354952	0,522024231	NO	
cyp-13A3	113,9161514	-0,636430259	0,199593169	-3,188637473	0,00142945	0,541797333	NO	
twk-26	46,56768033	-0,701854741	0,220347524	-3,185217276	0,001446454	0,541797333	NO	
srxa-14	1,331475419	-3,126230909	0,984484518	-3,175500327	0,001495784	0,552599808	NO	
paf-2	414,1639945	0,314280851	0,099262337	3,166164136	0,001544636	0,562936359	NO	
F56A11.12	5,854491993	1,275426897	0,403374749	3,161890775	0,001567483	0,563646154	NO	
Y43C5A.3	37,26711916	1,736044921	0,550323092	3,154592177	0,001607226	0,566450625	NO	
lgc-8	21,40017968	-0,682698128	0,216778765	-3,149285069	0,001636705	0,566450625	NO	
rhr-1	288,4821129	0,808955086	0,257042889	3,147159954	0,001648647	0,566450625	NO	
