Analysis	Description	p_val	neg_log_P	log_odds	find_alpha	find_size
Control	piRNA	1	0	0.100275843418189	0,3	1
Control	ChrX	0.014409418633265	6.1168440604956	-0.41170372791726	1	5,225574995
Control	Regulated	4.63218612954887e-76	250.254841986873	1.78897622097243	1	15,93450835
Control	Active	1	0	-0.099329608640167	0,3	1
Low dose	piRNA	1	0	-0.199362968636211	0,3	1
Low dose	ChrX	0.264468850420441	1.91883028555512	-0.289119610365192	0,3	1,880454231
Low dose	Regulated	1.25786092444676e-34	112.614582806896	1.33452180828651	1	13,6304997
Low dose	Active	0.0714957800128113	3.80599809941182	-0.256400596786371	0,3	3,856549682
High dose	piRNA	0.763375201356544	0.389535774277098	0.27282236942446	0,3	2,720344532
High dose	ChrX	0.00518808808378272	7.59058131067044	-0.439622467923348	1	5,848420752
High dose	Regulated	1.76238388576902e-31	102.162242732475	1.09542079740991	1	13,34943658
High dose	Active	0.471972002102424	1.0832268150164	-0.146156594330526	0,3	0,230670716
