Transitions	Condition	Lineage	Up	Down	Total	Generation
transitions_at_10	Control	C1	4	15	19	10
transitions_at_12	Control	C1	5	29	34	12
transitions_at_14	Control	C1	1	28	29	14
transitions_at_16	Control	C1	13	14	27	16
transitions_at_18	Control	C1	2	34	36	18
transitions_at_2	Control	C1	26	38	64	2
transitions_at_20	Control	C1	7	19	26	20
transitions_at_4	Control	C1	9	23	32	4
transitions_at_6	Control	C1	9	38	47	6
transitions_at_8	Control	C1	8	20	28	8
transitions_at_10	Control	C2	8	0	8	10
transitions_at_12	Control	C2	4	32	36	12
transitions_at_14	Control	C2	21	7	28	14
transitions_at_16	Control	C2	18	28	46	16
transitions_at_18	Control	C2	16	12	28	18
transitions_at_2	Control	C2	15	47	62	2
transitions_at_20	Control	C2	10	21	31	20
transitions_at_4	Control	C2	11	21	32	4
transitions_at_6	Control	C2	NA	NA	NA	6
transitions_at_8	Control	C2	17	15	32	8
transitions_at_10	Low dose	L1	NA	NA	NA	10
transitions_at_12	Low dose	L1	6	14	20	12
transitions_at_14	Low dose	L1	4	21	25	14
transitions_at_16	Low dose	L1	8	15	23	16
transitions_at_18	Low dose	L1	4	24	28	18
transitions_at_2	Low dose	L1	18	16	34	2
transitions_at_20	Low dose	L1	25	6	31	20
transitions_at_4	Low dose	L1	6	38	44	4
transitions_at_6	Low dose	L1	17	26	43	6
transitions_at_8	Low dose	L1	30	7	37	8
transitions_at_10	Low dose	L2	14	14	28	10
transitions_at_12	Low dose	L2	11	8	19	12
transitions_at_14	Low dose	L2	4	27	31	14
transitions_at_16	Low dose	L2	12	12	24	16
transitions_at_18	Low dose	L2	4	17	21	18
transitions_at_2	Low dose	L2	16	11	27	2
transitions_at_20	Low dose	L2	2	16	18	20
transitions_at_4	Low dose	L2	14	25	39	4
transitions_at_6	Low dose	L2	NA	NA	NA	6
transitions_at_8	Low dose	L2	25	18	43	8
transitions_at_10	High dose	H1	51	2	53	10
transitions_at_12	High dose	H1	5	36	41	12
transitions_at_14	High dose	H1	9	27	36	14
transitions_at_16	High dose	H1	8	24	32	16
transitions_at_18	High dose	H1	18	11	29	18
transitions_at_2	High dose	H1	12	27	39	2
transitions_at_20	High dose	H1	31	15	46	20
transitions_at_4	High dose	H1	2	41	43	4
transitions_at_6	High dose	H1	NA	NA	NA	6
transitions_at_8	High dose	H1	15	33	48	8
transitions_at_10	High dose	H2	6	13	19	10
transitions_at_12	High dose	H2	12	6	18	12
transitions_at_14	High dose	H2	51	8	59	14
transitions_at_16	High dose	H2	15	11	26	16
transitions_at_18	High dose	H2	115	3	118	18
transitions_at_2	High dose	H2	61	5	66	2
transitions_at_20	High dose	H2	36	7	43	20
transitions_at_4	High dose	H2	50	9	59	4
transitions_at_6	High dose	H2	48	5	53	6
transitions_at_8	High dose	H2	15	4	19	8
