gene_name	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
MIMAT0000001:NA:let-7-5p:miRNA	miRNA	1	20	1	0	C1	1	0	Control
MIMAT0000002:NA:lin-4-5p:miRNA	miRNA	2	6	1	1	C1	0	1	Control
MIMAT0000002:NA:lin-4-5p:miRNA	miRNA	2	14	1	1	C1	0	1	Control
MIMAT0000002:NA:lin-4-5p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000003:NA:miR-1-3p:miRNA	miRNA	2	10	5	1	C1	0	1	Control
MIMAT0000003:NA:miR-1-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000004:NA:miR-2-3p:miRNA	miRNA	2	6	3	1	C1	0	1	Control
MIMAT0000004:NA:miR-2-3p:miRNA	miRNA	2	12	3	1	C1	0	1	Control
MIMAT0000004:NA:miR-2-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000005:NA:miR-34-5p:miRNA	miRNA	1	2	19	0	C1	0	1	Control
MIMAT0000006:NA:miR-35-3p:miRNA	miRNA	2	2	1	1	C1	1	0	Control
MIMAT0000007:NA:miR-36-3p:miRNA	miRNA	2	6	3	1	C1	0	1	Control
MIMAT0000007:NA:miR-36-3p:miRNA	miRNA	2	12	3	1	C1	0	1	Control
MIMAT0000007:NA:miR-36-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000008:NA:miR-37-3p:miRNA	miRNA	2	2	1	1	C1	1	0	Control
MIMAT0000009:NA:miR-38-3p:miRNA	miRNA	2	2	1	1	C1	0	1	Control
MIMAT0000009:NA:miR-38-3p:miRNA	miRNA	2	6	9	1	C1	0	1	Control
MIMAT0000009:NA:miR-38-3p:miRNA	miRNA	1	18	3	0	C1	0	1	Control
MIMAT0000011:NA:miR-40-3p:miRNA	miRNA	2	2	3	1	C1	1	0	Control
MIMAT0000011:NA:miR-40-3p:miRNA	miRNA	2	8	1	1	C1	1	0	Control
MIMAT0000011:NA:miR-40-3p:miRNA	miRNA	2	16	1	1	C1	1	0	Control
MIMAT0000012:NA:miR-41-3p:miRNA	miRNA	1	2	19	0	C1	0	1	Control
MIMAT0000013:NA:miR-42-3p:miRNA	miRNA	2	2	3	1	C1	1	0	Control
MIMAT0000013:NA:miR-42-3p:miRNA	miRNA	2	8	1	1	C1	1	0	Control
MIMAT0000013:NA:miR-42-3p:miRNA	miRNA	2	16	1	1	C1	1	0	Control
MIMAT0000013:NA:miR-42-3p:miRNA	miRNA	1	20	1	0	C1	1	0	Control
MIMAT0000014:NA:miR-43-3p:miRNA	miRNA	1	2	19	0	C1	0	1	Control
MIMAT0000020:NA:miR-49-3p:miRNA	miRNA	2	2	1	1	C1	1	0	Control
MIMAT0000020:NA:miR-49-3p:miRNA	miRNA	2	8	1	1	C1	1	0	Control
MIMAT0000022:NA:miR-51-5p:miRNA	miRNA	1	2	19	0	C1	1	0	Control
MIMAT0000025:NA:miR-54-3p:miRNA	miRNA	2	4	5	1	C1	0	1	Control
MIMAT0000025:NA:miR-54-3p:miRNA	miRNA	2	12	7	1	C1	0	1	Control
MIMAT0000026:NA:miR-55-3p:miRNA	miRNA	1	2	19	0	C1	1	0	Control
MIMAT0000027:NA:miR-56-5p:miRNA	miRNA	2	6	3	1	C1	0	1	Control
MIMAT0000027:NA:miR-56-5p:miRNA	miRNA	2	12	3	1	C1	0	1	Control
MIMAT0000027:NA:miR-56-5p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000028:NA:miR-56-3p:miRNA	miRNA	1	2	19	0	C1	1	0	Control
MIMAT0000030:NA:miR-58a-3p:miRNA	miRNA	2	6	1	1	C1	0	1	Control
MIMAT0000030:NA:miR-58a-3p:miRNA	miRNA	2	10	5	1	C1	0	1	Control
MIMAT0000031:NA:miR-59-3p:miRNA	miRNA	2	2	13	1	C1	0	1	Control
MIMAT0000031:NA:miR-59-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000032:NA:miR-60-3p:miRNA	miRNA	2	6	9	1	C1	0	1	Control
MIMAT0000032:NA:miR-60-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000034:NA:miR-62:miRNA	miRNA	1	2	19	0	C1	0	1	Control
MIMAT0000036:NA:miR-64-5p:miRNA	miRNA	2	2	3	1	C1	1	0	Control
MIMAT0000037:NA:miR-65-5p:miRNA	miRNA	2	2	1	1	C1	1	0	Control
MIMAT0000037:NA:miR-65-5p:miRNA	miRNA	2	6	3	1	C1	1	0	Control
MIMAT0000039:NA:miR-67-3p:miRNA	miRNA	2	14	1	1	C1	0	1	Control
MIMAT0000039:NA:miR-67-3p:miRNA	miRNA	2	18	1	1	C1	0	1	Control
MIMAT0000042:NA:miR-70-3p:miRNA	miRNA	2	8	1	1	C1	1	0	Control
MIMAT0000042:NA:miR-70-3p:miRNA	miRNA	1	20	1	0	C1	1	0	Control
MIMAT0000043:NA:miR-71-5p:miRNA	miRNA	2	6	3	1	C1	0	1	Control
MIMAT0000043:NA:miR-71-5p:miRNA	miRNA	2	12	3	1	C1	0	1	Control
MIMAT0000043:NA:miR-71-5p:miRNA	miRNA	1	20	1	0	C1	0	1	Control
