Transitions	Condition	Lineage	UP	DOWN	Total	Generation
transitions_at_2	Control	C1	1	0	1	2
transitions_at_4	Control	C1	0	0	0	4
transitions_at_6	Control	C1	0	1	1	6
transitions_at_8	Control	C1	0	0	0	8
transitions_at_10	Control	C1	0	0	0	10
transitions_at_12	Control	C1	0	0	0	12
transitions_at_14	Control	C1	0	1	1	14
transitions_at_16	Control	C1	0	0	0	16
transitions_at_18	Control	C1	0	1	1	18
transitions_at_20	Control	C1	0	0	0	20
transitions_at_2	Control	C2	2	1	3	2
transitions_at_4	Control	C2	0	0	0	4
transitions_at_6	Control	C2	NA	NA	NA	6
transitions_at_8	Control	C2	1	0	1	8
transitions_at_10	Control	C2	0	0	0	10
transitions_at_12	Control	C2	1	0	1	12
transitions_at_14	Control	C2	0	0	0	14
transitions_at_16	Control	C2	1	0	1	16
transitions_at_18	Control	C2	0	0	0	18
transitions_at_20	Control	C2	0	0	0	20
transitions_at_2	Low dose	L1	1	0	1	2
transitions_at_4	Low dose	L1	0	0	0	4
transitions_at_6	Low dose	L1	0	0	0	6
transitions_at_8	Low dose	L1	0	0	0	8
transitions_at_10	Low dose	L1	NA	NA	NA	10
transitions_at_12	Low dose	L1	0	0	0	12
transitions_at_14	Low dose	L1	0	1	1	14
transitions_at_16	Low dose	L1	0	0	0	16
transitions_at_18	Low dose	L1	0	0	0	18
transitions_at_20	Low dose	L1	0	1	1	20
transitions_at_2	Low dose	L2	1	1	2	2
transitions_at_4	Low dose	L2	0	1	1	4
transitions_at_6	Low dose	L2	NA	NA	NA	6
transitions_at_8	Low dose	L2	0	1	1	8
transitions_at_10	Low dose	L2	1	1	2	10
transitions_at_12	Low dose	L2	0	0	0	12
transitions_at_14	Low dose	L2	0	0	0	14
transitions_at_16	Low dose	L2	1	0	1	16
transitions_at_18	Low dose	L2	1	1	2	18
transitions_at_20	Low dose	L2	0	0	0	20
transitions_at_2	High dose	H1	1	0	1	2
transitions_at_4	High dose	H1	1	1	2	4
transitions_at_6	High dose	H1	NA	NA	NA	6
transitions_at_8	High dose	H1	0	2	2	8
transitions_at_10	High dose	H1	0	1	1	10
transitions_at_12	High dose	H1	1	1	2	12
transitions_at_14	High dose	H1	1	0	1	14
transitions_at_16	High dose	H1	0	0	0	16
transitions_at_18	High dose	H1	0	2	2	18
transitions_at_20	High dose	H1	1	0	1	20
transitions_at_2	High dose	H2	1	1	2	2
transitions_at_4	High dose	H2	1	1	2	4
transitions_at_6	High dose	H2	1	1	2	6
transitions_at_8	High dose	H2	0	1	1	8
transitions_at_10	High dose	H2	0	0	0	10
transitions_at_12	High dose	H2	1	1	2	12
transitions_at_14	High dose	H2	2	0	2	14
transitions_at_16	High dose	H2	1	1	2	16
transitions_at_18	High dose	H2	0	0	0	18
transitions_at_20	High dose	H2	0	1	1	20
