Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00000018:22G:abl-1, M79.1:CSR	abl-1, M79.1	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00000018:22G:abl-1, M79.1:CSR	abl-1, M79.1	2	10	9	1	C1	0	1	Control
22G	Gene:WBGene00000034:22G:abu-11, T01D1.6:WAGO	abu-11, T01D1.6	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00000066:22G:act-4, M03F4.2:CSR	act-4, M03F4.2	1	2	19	0	C1	0	1	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	2	12	3	1	C1	1	0	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00000140:22G:anc-1, ZK973.6:WAGO	anc-1, ZK973.6	2	4	3	1	C1	1	0	Control
22G	Gene:WBGene00000140:22G:anc-1, ZK973.6:WAGO	anc-1, ZK973.6	2	10	9	1	C1	1	0	Control
22G	Gene:WBGene00000161:22G:apa-2, T20B5.1:CSR	apa-2, T20B5.1	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000177:22G:aqp-9, K07A1.16:WAGO	aqp-9, K07A1.16	2	6	11	1	C1	0	1	Control
22G	Gene:WBGene00000195:22G:arr-1, F53H8.2:CSR	arr-1, F53H8.2	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00000195:22G:arr-1, F53H8.2:CSR	arr-1, F53H8.2	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00000195:22G:arr-1, F53H8.2:CSR	arr-1, F53H8.2	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00000214:22G:asp-1, Y39B6A.20:CSR	asp-1, Y39B6A.20	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00000224:22G:atgp-1, F26D10.9:WAGO	atgp-1, F26D10.9	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00000294:22G:cas-1, F41G4.2:WAGO	cas-1, F41G4.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00000294:22G:cas-1, F41G4.2:WAGO	cas-1, F41G4.2	2	12	3	1	C1	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00000407:22G:cdk-5, T27E9.3:WAGO	cdk-5, T27E9.3	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00000414:22G:cec-1, ZK1236.2:CSR	cec-1, ZK1236.2	2	2	3	1	C1	0	1	Control
22G	Gene:WBGene00000414:22G:cec-1, ZK1236.2:CSR	cec-1, ZK1236.2	2	16	1	1	C1	0	1	Control
