Term	log_OR	p_val	neg_log_P	find_alpha	find_size
positive regulation of organelle assembly (GO:1902117)	3,11073805	0,000541247	7,521634749	1	7,521634749
positive regulation of cytoskeleton organization (GO:0051495)	3,11073805	0,000541247	7,521634749	1	7,521634749
endosomal transport (GO:0016197)	3,11073805	0,000541247	7,521634749	1	7,521634749
transmembrane transport (GO:0055085)	3,11073805	0,000541247	7,521634749	1	7,521634749
actin binding (GO:0003779)	3,11073805	0,000541247	7,521634749	1	7,521634749
beta-Alanine metabolism	3,099328805	0,232999646	1,456718344	0,3	14
Mitophagy	3,099328805	0,232999646	1,456718344	0,3	14
ABC transporters	3,099328805	0,232999646	1,456718344	0,3	14
Propanoate metabolism	3,099328805	0,232999646	1,456718344	0,3	14
positive regulation of protein complex assembly (GO:0031334)	3,099328805	0,232999646	1,456718344	0,3	14
