cyp-35B1				ZK105.3				unc-22		
RNA				RNA				RNA		
Generation	Zscore			Generation	Zscore			Generation	Zscore	
2	0.518975998046131			2	2.2040346391753			2	0.902206551484178	
4	2.33784410472038			4	0.992235316620523			4	1.63448873503707	
6	2.02880108852103			6	2.32331257925847			6	2.51119849147492	
8	0.459924543226794			8	2.56946446702541			8	1.72908883382749	
10	-0.744353818343191			10	1.58154987190156			10	3.31119849832971	
12	1.02827178435574			12	0.910159682032647			12	2.41304648381796	
14	-0.254601276316326			14	1.4055086218369			14	0.219489772952659	
16	-0.824805792860996			16	2.36121824594633			16	1.9253707219008	
18	-1.32007613136136			18	2.38683526317955			18	0.393269783234713	
20	-1.32007613136136			20	2.3166504218595			20	0.393269783234713	
										
Gln.CTG_tRNA				Leu.AAG.1_tRNA				Glu.CTC_tRNA		
Generation	Zscore			Generation	Zscore			Generation	Zscore	
2	1.27217427436507			2	-0.160763535111708			2	0.871802727852882	
4	-2.918933408886			4	-0.539047879034983			4	4.06579395867337	
6	1.71182029755884			6	0.370451208219637			6	2.75333623012348	
8	1.71182029755884			8	-3.63866463873399			8	2.75333623012348	
10	1.25467603500875			10	0.0398901096702978			10	3.2998133834385	
12	0.286729814752138			12	-0.350340912656074			12	1.7157493439313	
14	1.70479324417216			14	0.167643521763271			14	-0.0397134441414971	
16	1.06149023718079			16	-0.170505955639669			16	-0.565923775234228	
18	1.03897476819158			18	-0.119609139507297			18	-0.182259317447731	
20	1.05199962156367			20	-3.32392883392942			20	2.55228648897071	
										
Gln.TTG_tRNA				Leu.AAG.2_tRNA						
Generation	Zscore			Generation	Zscore					
2	5.1731606790595			2	-0.307884093100408					
4	-0.634327962091065			4	-0.0602101789784783					
6	-0.591085429558091			6	-0.238578002781103					
8	-0.591085429558091			8	-0.331610789347553					
10	1.2072596900969			10	-0.440649313805913					
12	-0.700514670941766			12	-0.365203862469602					
14	4.73129480515714			14	-0.452273626376537					
16	5.13670957225232			16	-0.438827167907143					
18	3.92131681103229			18	-0.379783692188363					
20	4.58952565642378			20	-0.271093887093584					
