Term	log_OR	p_val	neg_log_P	find_alpha	find_size
nucleus (GO:0005634)	1,441980948	7,9214E-99	225,8863615	1	225,8863615
integral component of plasma membrane (GO:0005887)	1,423147171	5,02575E-40	90,48882989	1	90,48882989
mitochondrion (GO:0005739)	1,420719233	2,60122E-32	72,72674061	1	72,72674061
cytosol (GO:0005829)	1,419913168	9,64547E-30	66,81106404	1	66,81106404
embryo development ending in birth or egg hatching (GO:0009792)	1,419913168	9,64547E-30	66,81106404	1	66,81106404
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	1,418038616	9,47486E-24	53,01340023	1	53,01340023
ubiquitin-dependent protein catabolic process (GO:0006511)	1,417504632	4,88057E-22	49,07160995	1	49,07160995
chemical synaptic transmission (GO:0007268)	1,416704985	1,80596E-19	43,1580247	1	43,1580247
proteasomal protein catabolic process (GO:0010498)	1,416438789	1,29715E-18	41,18636032	1	41,18636032
Spliceosome	1,416438789	1,29715E-18	41,18636032	1	41,18636032
