Term	log_OR	p_val	neg_log_P	find_alpha	find_size	Lineage
peptidyl-serine phosphorylation (GO:0018105)	1,414622677	1,89191E-11	24,69084867	1	24,69084867	H2
peptidyl-serine modification (GO:0018209)	1,414622677	1,89191E-11	24,69084867	1	24,69084867	H2
protein serine/threonine kinase activity (GO:0004674)	1,312277579	2,76108E-14	31,22057088	1	31,22057088	C2
protein serine/threonine kinase activity (GO:0004674)	1,400983753	1,62065E-15	34,05595007	1	34,05595007	H1
protein serine/threonine kinase activity (GO:0004674)	1,415683596	6,91867E-15	32,60455312	1	32,60455312	H2
protein serine/threonine kinase activity (GO:0004674)	1,469257702	1,60919E-13	29,45787636	1	29,45787636	L1
protein serine/threonine kinase activity (GO:0004674)	1,578021874	4,76222E-15	32,9780634	1	32,9780634	L2
protein phosphorylation (GO:0006468)	1,415418103	4,99376E-14	30,62800157	1	30,62800157	H2
protein phosphorylation (GO:0006468)	1,424785123	3,75317E-10	21,70324949	1	21,70324949	C1
protein phosphorylation (GO:0006468)	1,468951248	1,31074E-12	27,36042713	1	27,36042713	L1
protein phosphorylation (GO:0006468)	1,577638028	4,90953E-14	30,64501241	1	30,64501241	L2
defense response to bacterium (GO:0042742)	1,424785123	3,75317E-10	21,70324949	1	21,70324949	C1
protein kinase activity (GO:0004672)	1,312486802	4,76989E-15	32,97645371	1	32,97645371	C2
protein kinase activity (GO:0004672)	1,402269389	9,84067E-20	43,76517828	1	43,76517828	H1
protein kinase activity (GO:0004672)	1,416747325	2,56923E-18	40,50292351	1	40,50292351	H2
protein kinase activity (GO:0004672)	1,425056368	5,04143E-11	23,71074715	1	23,71074715	C1
protein kinase activity (GO:0004672)	1,470178038	3,00143E-16	35,74227203	1	35,74227203	L1
protein kinase activity (GO:0004672)	1,579175375	4,37588E-18	39,97042459	1	39,97042459	L2
G-protein coupled olfactory receptor activity (GO:0038022)	1,313324807	4,27687E-18	39,99331103	1	39,99331103	C2
G-protein coupled olfactory receptor activity (GO:0038022)	1,400214346	5,53972E-13	28,22166201	1	28,22166201	H1
G-protein coupled olfactory receptor activity (GO:0038022)	1,426415344	2,26494E-15	33,72122921	1	33,72122921	C1
G-protein coupled olfactory receptor activity (GO:0038022)	1,468951248	1,31074E-12	27,36042713	1	27,36042713	L1
G-protein coupled olfactory receptor activity (GO:0038022)	1,577638028	4,90953E-14	30,64501241	1	30,64501241	L2
nucleus (GO:0005634)	1,31606071	5,49296E-28	62,76891498	1	62,76891498	C2
nucleus (GO:0005634)	1,410859602	1,43358E-47	107,8613259	1	107,8613259	H1
nucleus (GO:0005634)	1,425904561	1,80244E-47	107,6323555	1	107,6323555	H2
nucleus (GO:0005634)	1,426687691	3,06972E-16	35,71977494	1	35,71977494	C1
nucleus (GO:0005634)	1,472331131	1,3167E-22	50,38174589	1	50,38174589	L1
nucleus (GO:0005634)	1,581878363	3,65445E-25	56,26868228	1	56,26868228	L2
G-protein coupled receptor activity (GO:0004930)	1,313534587	7,4098E-19	41,74631295	1	41,74631295	C2
G-protein coupled receptor activity (GO:0004930)	1,400214346	5,53972E-13	28,22166201	1	28,22166201	H1
G-protein coupled receptor activity (GO:0004930)	1,426960222	4,16362E-17	37,71756258	1	37,71756258	C1
G-protein coupled receptor activity (GO:0004930)	1,469871097	2,43564E-15	33,64856559	1	33,64856559	L1
