Position	Gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
chrII:15273616:15273693:2RSSE.6:WBGene00199694	2RSSE.6	2	12	1	1	C1	1	0	Control
chrII:1386869:1391639:aat-7:WBGene00000008	aat-7	2	4	1	1	C1	0	1	Control
chrII:1386869:1391639:aat-7:WBGene00000008	aat-7	2	8	1	1	C1	0	1	Control
chrII:1386869:1391639:aat-7:WBGene00000008	aat-7	1	20	1	0	C1	0	1	Control
chrI:3885543:3885988:abf-2:WBGene00000013	abf-2	2	2	7	1	C1	0	1	Control
chrI:3885543:3885988:abf-2:WBGene00000013	abf-2	2	14	3	1	C1	0	1	Control
chrI:3885543:3885988:abf-2:WBGene00000013	abf-2	1	20	1	0	C1	0	1	Control
chrX:12792726:12793386:abf-5:WBGene00000016	abf-5	2	6	1	1	C1	0	1	Control
chrX:12792726:12793386:abf-5:WBGene00000016	abf-5	2	12	1	1	C1	0	1	Control
chrX:12792726:12793386:abf-5:WBGene00000016	abf-5	1	20	1	0	C1	0	1	Control
chrX:12794117:12794870:abf-6:WBGene00000017	abf-6	2	14	1	1	C1	0	1	Control
chrI:11515126:11517108:abhd-11.1:WBGene00009316	abhd-11.1	2	16	1	1	C1	0	1	Control
chrX:975524:978008:abhd-3.2:WBGene00016644	abhd-3.2	2	2	3	1	C1	0	1	Control
chrIV:10206188:10214911:abt-1:WBGene00000019	abt-1	2	8	3	1	C1	1	0	Control
chrIV:10206188:10214911:abt-1:WBGene00000019	abt-1	2	14	3	1	C1	1	0	Control
chrI:2255920:2272866:abt-2:WBGene00000020	abt-2	2	12	1	1	C1	1	0	Control
chrV:323771:330725:abt-4:WBGene00000022	abt-4	2	16	1	1	C1	0	1	Control
chrI:12011194:12018684:abt-5:WBGene00000023	abt-5	2	8	5	1	C1	1	0	Control
chrV:10380339:10381826:abu-1:WBGene00000024	abu-1	2	12	1	1	C1	1	0	Control
chrV:5158622:5159907:abu-15:WBGene00004099	abu-15	2	2	1	1	C1	0	1	Control
chrV:5158622:5159907:abu-15:WBGene00004099	abu-15	2	12	1	1	C1	1	0	Control
chrV:5158622:5159907:abu-15:WBGene00004099	abu-15	1	16	5	0	C1	0	1	Control
chrV:2274841:2275977:abu-4:WBGene00000027	abu-4	2	2	1	1	C1	1	0	Control
chrV:5160670:5161892:abu-6:WBGene00000029	abu-6	2	12	1	1	C1	1	0	Control
chrV:5160670:5161892:abu-6:WBGene00000029	abu-6	2	16	1	1	C1	0	1	Control
chrV:5163395:5164759:abu-7:WBGene00000030	abu-7	2	12	1	1	C1	1	0	Control
