Analysis	Description	p_val	neg_log_P	log_odds	find_alpha	find_size
C1	piRNA	0.11727178638039	3.09207212794048	0.628881684296253	0,3	3,257147946
C1	ChrX	0.0129560804165226	6.27022686190115	-0.627533209811093	1	5,297035284
C1	Regulated	2.05927107231883e-40	131.834990043742	1.86635776163593	1	14,08517903
C1	Active	1	0	0.0265375798755722	0,3	1
C2	piRNA	1	0	-0.0177869256663265	0,3	1
C2	ChrX	0.756843956830636	0.401932213318993	-0.228428730957884	0,3	2,629951773
C2	Regulated	8.19085053355097e-49	159.740463381152	1.7145811905902	1	14,63917199
C2	Active	0.190144719089459	2.39483022349312	-0.230644973145239	0,3	2,519846765
L1	piRNA	1	0	-0.207737797341487	0,3	1
L1	ChrX	0.233268238047011	2.09993821247548	-0.404917731577998	0,3	2,140693759
L1	Regulated	7.05230771822786e-29	93.5178193255899	1.61613854898877	1	13,09433877
L1	Active	0.810020295573761	0.303970038795291	-0.18665643119444	0,3	3,435997931
L2	piRNA	1	0	-0.0917549193195025	0,3	1
L2	ChrX	1	0	-0.117189052739589	0,3	1
L2	Regulated	7.57338341637106e-12	36.9421991690175	0.987020165876369	1	10,41439569
L2	Active	0.106552490384448	3.23036378216744	-0.314909691777651	0,3	3,383393282
H1	piRNA	1	0	0.183671790063603	0,3	1
H1	ChrX	0.157782168548936	2.6639939237541	-0.373986811675801	0,3	2,827181584
H1	Regulated	5.7864468950268e-27	87.1593808131224	1.3107423185968	1	12,89116808
H1	Active	0.462186449190953	1.11345313272699	-0.192453834744369	0,3	0,310081667
H2	piRNA	1	0	0.185407057742879	0,3	1
H2	ChrX	0.171822548413873	2.54100871993439	-0.34341600270157	0,3	2,690802653
H2	Regulated	1.02081725629344e-12	39.8334125163466	0.844748060299661	1	10,63181435
H2	Active	0.0950901549372789	3.39456020892451	-0.262913590994355	0,3	3,526449349
