gene_name	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
Gene:WBGene00000041:26G:aco-2, F54H12.1:ALG, CSR	aco-2, F54H12.1	2	8	1	1	C1	0	1	Control
Gene:WBGene00000041:26G:aco-2, F54H12.1:ALG, CSR	aco-2, F54H12.1	2	16	1	1	C1	0	1	Control
Gene:WBGene00000064:26G:act-2, T04C12.5:ALG, CSR	act-2, T04C12.5	2	2	1	1	C1	0	1	Control
Gene:WBGene00000098:26G:air-1, K07C11.2:ALG	air-1, K07C11.2	2	18	1	1	C1	0	1	Control
Gene:WBGene00000182:26G:arf-1, B0336.2:ALG, CSR	arf-1, B0336.2	2	2	1	1	C1	0	1	Control
Gene:WBGene00000182:26G:arf-1, B0336.2:ALG, CSR	arf-1, B0336.2	2	10	1	1	C1	0	1	Control
Gene:WBGene00000182:26G:arf-1, B0336.2:ALG, CSR	arf-1, B0336.2	2	14	3	1	C1	0	1	Control
Gene:WBGene00000182:26G:arf-1, B0336.2:ALG, CSR	arf-1, B0336.2	1	20	1	0	C1	0	1	Control
Gene:WBGene00000198:26G:art-1, C15F1.6:ALG	art-1, C15F1.6	2	4	1	1	C1	0	1	Control
Gene:WBGene00000257:26G:bmk-1, F23B12.8:ALG, CSR	bmk-1, F23B12.8	2	2	1	1	C1	0	1	Control
Gene:WBGene00000257:26G:bmk-1, F23B12.8:ALG, CSR	bmk-1, F23B12.8	2	12	1	1	C1	0	1	Control
Gene:WBGene00000257:26G:bmk-1, F23B12.8:ALG, CSR	bmk-1, F23B12.8	1	18	3	0	C1	0	1	Control
Gene:WBGene00000275:26G:bub-1, R06C7.8:ALG, CSR	bub-1, R06C7.8	2	16	1	1	C1	0	1	Control
Gene:WBGene00000788:26G:cpz-1, F32B5.8:ERGO	cpz-1, F32B5.8	2	2	1	1	C1	0	1	Control
Gene:WBGene00000788:26G:cpz-1, F32B5.8:ERGO	cpz-1, F32B5.8	2	10	1	1	C1	0	1	Control
Gene:WBGene00000788:26G:cpz-1, F32B5.8:ERGO	cpz-1, F32B5.8	2	18	1	1	C1	0	1	Control
Gene:WBGene00000896:26G:dad-1, F57B10.10:ALG, CSR	dad-1, F57B10.10	2	2	1	1	C1	0	1	Control
Gene:WBGene00000915:26G:C47E8.5, hsp-90:ALG, CSR	C47E8.5, hsp-90	2	14	1	1	C1	0	1	Control
Gene:WBGene00000915:26G:C47E8.5, hsp-90:ALG, CSR	C47E8.5, hsp-90	1	20	1	0	C1	0	1	Control
Gene:WBGene00001037:26G:dnj-19, T05C3.5:ALG, CSR	dnj-19, T05C3.5	2	2	1	1	C1	1	0	Control
Gene:WBGene00001037:26G:dnj-19, T05C3.5:ALG, CSR	dnj-19, T05C3.5	2	8	9	1	C1	1	0	Control
Gene:WBGene00001038:26G:dnj-20, T15H9.7:ALG	dnj-20, T15H9.7	1	20	1	0	C1	0	1	Control
Gene:WBGene00001168:26G:eef-1A.1, F31E3.5:ALG, CSR	eef-1A.1, F31E3.5	2	6	1	1	C1	0	1	Control
Gene:WBGene00001230:26G:eif-3.G, F22B5.2:ALG, CSR	eif-3.G, F22B5.2	2	10	1	1	C1	0	1	Control
Gene:WBGene00001488:26G:frm-1, ZK270.2:ALG, WAGO	frm-1, ZK270.2	2	4	1	1	C1	0	1	Control
Gene:WBGene00001488:26G:frm-1, ZK270.2:ALG, WAGO	frm-1, ZK270.2	2	12	1	1	C1	0	1	Control
Gene:WBGene00001488:26G:frm-1, ZK270.2:ALG, WAGO	frm-1, ZK270.2	2	16	1	1	C1	0	1	Control
Gene:WBGene00001558:26G:gdi-1, Y57G11C.10:ALG	gdi-1, Y57G11C.10	2	10	1	1	C1	0	1	Control
Gene:WBGene00001977:26G:hmg-12, Y17G7A.1:ALG, CSR	hmg-12, Y17G7A.1	2	16	1	1	C1	0	1	Control
Gene:WBGene00002005:26G:F26D10.3, hsp-1:ALG, CSR	F26D10.3, hsp-1	1	20	1	0	C1	0	1	Control
Gene:WBGene00002045:26G:C56C10.8, icd-1:ALG, CSR	C56C10.8, icd-1	2	16	1	1	C1	0	1	Control
Gene:WBGene00002066:26G:ifg-1, M110.4:ALG, CSR	ifg-1, M110.4	1	20	1	0	C1	1	0	Control
Gene:WBGene00002074:26G:F32E10.4, ima-3:ALG, CSR	F32E10.4, ima-3	2	6	1	1	C1	0	1	Control
Gene:WBGene00002074:26G:F32E10.4, ima-3:ALG, CSR	F32E10.4, ima-3	2	14	1	1	C1	0	1	Control
Gene:WBGene00002202:26G:C03C10.1, kin-19:ALG, CSR	C03C10.1, kin-19	2	10	1	1	C1	0	1	Control
Gene:WBGene00002263:26G:K08H10.1, lea-1:ALG	K08H10.1, lea-1	2	4	1	1	C1	0	1	Control
Gene:WBGene00003576:26G:ndc-80, W01B6.9:ALG, CSR	ndc-80, W01B6.9	2	4	1	1	C1	0	1	Control
