Control vs. Low dose						
WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chrII:4417682:4419131:sod-5:WBGene00007036	50,02980425	1,308636277	0,245076	5,339716159	9,30922E-08	0,002510604
chrIV:7710974:7714198:nhr-8:WBGene00003607	789,5116975	-0,612605878	0,122760417	-4,990255775	6,02994E-07	0,008131072
chrIII:6177915:6178686:F42A10.7:WBGene00018343	521,6674213	1,51836169	0,318894799	4,761324727	1,92326E-06	0,017289493
chrV:20554115:20555267:Y38H6C.21:WBGene00012633	7,578572167	3,180515968	0,677598825	4,693803838	2,68171E-06	0,018080772
chrIII:11721705:11723606:Y41C4A.32:WBGene00270321	91,36420147	2,776432757	0,604156018	4,595555904	4,31597E-06	0,02313651
chrIII:4378908:4379206:srpr-1.1:WBGene00045189	29,08205578	2,358015934	0,517257301	4,558690482	5,14736E-06	0,02313651
						
Control vs. High dose						
WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chrV:15700605:15702363:nhr-53:WBGene00003643	382,5251368	1,198334383	0,161024015	7,441960671	9,92018E-14	1,69714E-09
chrX:10217309:10218929:F44A6.5:WBGene00009677	358,7371786	1,132749599	0,159417629	7,105547918	1,19846E-12	1,02516E-08
chrII:5544780:5547490:acdh-2:WBGene00015894	327,3254122	2,727495863	0,411732273	6,6244403	3,48566E-11	1,98776E-07
chrX:6018441:6019936:C09B8.4:WBGene00015623	475,1902024	1,238025883	0,205507027	6,024250853	1,69895E-09	7,2664E-06
chrII:5570884:5575008:C17C3.1:WBGene00015887	985,6913331	0,839439376	0,14145713	5,934231627	2,95225E-09	1,01014E-05
chrX:5514727:5515084:T23F2.4:WBGene00020737	69,50222454	1,331186953	0,232386979	5,728319893	1,0143E-08	2,82396E-05
chrII:13832851:13833653:F08G2.5:WBGene00008577	211,0199984	2,65696888	0,465630889	5,706169717	1,15547E-08	2,82396E-05
chrIV:7382299:7384796:T12B3.1:WBGene00020444	78,93539294	-0,714826526	0,127255495	-5,617254704	1,94015E-08	3,72817E-05
chrIV:12973623:12975601:F55G11.4:WBGene00010124	88,81920744	1,032256153	0,183826508	5,615382494	1,96128E-08	3,72817E-05
chrIV:17469346:17470387:F11E6.4:WBGene00008708	197,8736782	1,11381767	0,201787714	5,51974967	3,39483E-08	5,80787E-05
chrIII:5555403:5557258:hach-1:WBGene00017301	3950,283367	0,767103137	0,140321375	5,466758991	4,58339E-08	7,12841E-05
chrI:3367639:3368550:W05F2.3:WBGene00021035	989,2953849	1,077442205	0,20069998	5,368422093	7,94285E-08	0,000103802
chrV:15357664:15360738:ech-1.1:WBGene00001150	400,0917891	1,27533587	0,239045725	5,33511265	9,54853E-08	0,000103802
chrV:12549213:12550385:F45D3.3:WBGene00009723	163,0825206	0,917277907	0,171967997	5,334003557	9,60706E-08	0,000103802
chrV:9088130:9088617:hsp-16.48:WBGene00002019	2279,445808	1,42621003	0,268051272	5,320661306	1,03391E-07	0,000103802
chrV:9088130:9088617:hsp-16.49:WBGene00002020	2279,445808	1,42621003	0,268051272	5,320661306	1,03391E-07	0,000103802
chrIV:7551656:7552874:dif-1:WBGene00000996	4609,011182	0,637579067	0,119885624	5,318227867	1,04783E-07	0,000103802
chrI:5619568:5620669:cey-2:WBGene00000473	4806,322577	1,271105783	0,240129375	5,293420606	1,20049E-07	0,000103802
chrII:11493158:11495321:ooc-3:WBGene00003868	1167,203389	0,452005174	0,085414649	5,291892892	1,21057E-07	0,000103802
chrX:15866410:15868766:F53H4.4:WBGene00010009	195,831977	0,565372895	0,106914426	5,288088	1,23602E-07	0,000103802
chrV:4038409:4039939:C49G7.12:WBGene00077593	49,26115332	2,865842414	0,543008345	5,277713394	1,30806E-07	0,000103802
chrV:2574180:2575410:nhr-290:WBGene00016233	26,12271892	-1,362645591	0,258370542	-5,273997503	1,33484E-07	0,000103802
chrII:9109533:9111239:T24H10.4:WBGene00012002	693,5629772	0,485185239	0,092320618	5,255437487	1,47673E-07	0,000109843
chrIV:17272230:17273652:gln-5:WBGene00001606	275,4911325	0,938039976	0,179029269	5,239590042	1,60934E-07	0,000111148
chrV:5428159:5430340:rhr-1:WBGene00004358	417,9503022	1,557834963	0,29741642	5,237891582	1,62421E-07	0,000111148
chrIII:9751319:9752883:ech-6:WBGene00001155	14221,67153	1,064859634	0,205767575	5,175060419	2,27837E-07	0,00014303
chrI:7702428:7704584:F27D4.1:WBGene00009187	6750,535021	0,653210284	0,126318303	5,171145197	2,32664E-07	0,00014303
chrI:14237358:14241188:C49A1.5:WBGene00008187	239,9398118	-1,09956289	0,212681334	-5,170001852	2,34092E-07	0,00014303
chrI:347468:348357:Y48G1A.2:WBGene00021658	520,145812	1,0152431	0,196826873	5,158051251	2,49533E-07	0,000147207
chrX:6835486:6836115:F41B4.3:WBGene00018259	334,4503185	1,254565959	0,243561349	5,150923848	2,59206E-07	0,000147407
chrV:20713919:20716872:Y44A6C.1:WBGene00012850	1586,539031	0,319799708	0,062191098	5,142210391	2,71525E-07	0,000147407
chrIV:9399652:9401293:F56D5.3:WBGene00010148	1088,982958	-1,612951764	0,313844804	-5,139329196	2,75721E-07	0,000147407
chrIV:12014130:12015686:lips-6:WBGene00014009	919,2994656	-1,498864703	0,295105878	-5,079074379	3,79278E-07	0,000196627
chrIV:11913691:11915687:fat-6:WBGene00001398	308,9094591	1,29389755	0,255813515	5,05797182	4,23739E-07	0,000207806
chrX:4647525:4649197:ent-5:WBGene00017532	92,29372401	1,05753395	0,209108566	5,057343983	4,25136E-07	0,000207806
chrII:8012815:8015263:DH11.2:WBGene00008436	1009,201005	0,831625151	0,165911985	5,012447708	5,3742E-07	0,000255394
chrIII:1002706:1006298:clec-150:WBGene00019914	524,7890473	2,055146503	0,411380181	4,995735325	5,8612E-07	0,00026706
chrX:8748433:8750969:asns-2:WBGene00019730	9969,105048	0,933702832	0,187081671	4,990883545	6,01037E-07	0,00026706
chrIII:2782732:2785993:Y71H2AM.20:WBGene00022185	2193,926831	0,429906249	0,086181107	4,98840483	6,08799E-07	0,00026706
chrX:8325098:8326451:R09F10.8:WBGene00019989	1531,076929	0,673837834	0,135264103	4,981645685	6,30458E-07	0,000267979
chrI:6315232:6317267:ima-2:WBGene00002073	1334,122379	0,735167763	0,14774616	4,975884079	6,49505E-07	0,000267979
chrX:10782927:10783922:clc-4:WBGene00000525	22,78987793	-1,496247853	0,300850095	-4,973399967	6,57887E-07	0,000267979
chrII:10882407:10884441:egg-3:WBGene00009701	1019,716971	0,832382216	0,167558494	4,967711251	6,77477E-07	0,000269541
chrII:4417682:4419131:sod-5:WBGene00007036	45,33339343	1,101349301	0,222142596	4,957848352	7,12782E-07	0,000277142
chrIII:4241476:4242593:F43C1.7:WBGene00023423	31,39872827	1,645583773	0,332425581	4,950232077	7,4125E-07	0,000281807
chrII:10951600:10953165:nos-1:WBGene00003783	248,4846037	0,749555244	0,151780018	4,938431652	7,87534E-07	0,000287469
chrIII:5484288:5486005:R02F2.4:WBGene00019833	190,7587285	0,833003496	0,168696468	4,937883436	7,8975E-07	0,000287469
chrIII:11721705:11723606:Y41C4A.32:WBGene00270321	108,8920282	3,065043347	0,621627329	4,930676637	8,19453E-07	0,000292067
chrX:4291474:4297739:paf-2:WBGene00003907	440,8041343	0,434973647	0,089334499	4,869044479	1,12139E-06	0,000385171
chrV:14343067:14346964:F47B8.10:WBGene00009811	397,0112799	0,812503101	0,167005191	4,865136814	1,14378E-06	0,000385171
chrV:4022608:4024477:cyp-35A3:WBGene00019565	475,9961574	0,985232162	0,202693786	4,860692478	1,16976E-06	0,000385171
chrI:4759819:4761321:kca-1:WBGene00015698	210,3977727	0,771377693	0,158702465	4,860527486	1,17073E-06	0,000385171
chrV:7435929:7436958:F25E5.8:WBGene00017789	356,8662653	0,769953961	0,159501434	4,827254175	1,38428E-06	0,000446836
chrIV:10891332:10892093:F13E9.14:WBGene00045207	15,40600008	2,817155066	0,584815898	4,817165664	1,45612E-06	0,000448747
chrIII:10759289:10763006:tasp-1:WBGene00010480	1868,929181	0,370912825	0,077017294	4,815968023	1,46488E-06	0,000448747
chrI:6585038:6587902:try-6:WBGene00006624	132,8735838	-0,953313158	0,19797085	-4,815421859	1,46889E-06	0,000448747
chrX:2255847:2258101:crn-4:WBGene00000797	316,2278367	0,824766997	0,171606617	4,806149149	1,53865E-06	0,000455574
chrII:8008650:8011633:glna-2:WBGene00008435	360,520944	1,17050818	0,24358234	4,805390165	1,5445E-06	0,000455574
chrIV:6903949:6905546:T22D1.5:WBGene00020684	1148,278942	0,83013765	0,173111513	4,7953925	1,62357E-06	0,000470779
chrV:14991703:14992677:T01C3.3:WBGene00011320	258,7569391	1,109759383	0,232394928	4,7753167	1,79425E-06	0,0005116
chrI:5919054:5935416:B0207.5:WBGene00015028	43,33669416	-1,366429001	0,28664626	-4,766952132	1,87034E-06	0,000524553
