gene_name	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
Gene:WBGene00045521:NA:21ur-4491, Y51H4A.35:piRNA	21ur-4491, Y51H4A.35	2	4	1	1	C1	1	0	Control
Gene:WBGene00045521:NA:21ur-4491, Y51H4A.35:piRNA	21ur-4491, Y51H4A.35	2	16	1	1	C1	1	0	Control
Gene:WBGene00045531:NA:21ur-3262, Y105C5A.35:piRNA	21ur-3262, Y105C5A.35	2	6	1	1	C1	0	1	Control
Gene:WBGene00045532:NA:21ur-116, C02B10.7:piRNA	21ur-116, C02B10.7	2	8	1	1	C1	0	1	Control
Gene:WBGene00045532:NA:21ur-116, C02B10.7:piRNA	21ur-116, C02B10.7	2	14	1	1	C1	0	1	Control
Gene:WBGene00045532:NA:21ur-116, C02B10.7:piRNA	21ur-116, C02B10.7	2	18	1	1	C1	0	1	Control
Gene:WBGene00045533:NA:21ur-338, T06A10.5:piRNA	21ur-338, T06A10.5	2	2	7	1	C1	1	0	Control
Gene:WBGene00045533:NA:21ur-338, T06A10.5:piRNA	21ur-338, T06A10.5	2	14	1	1	C1	1	0	Control
Gene:WBGene00045533:NA:21ur-338, T06A10.5:piRNA	21ur-338, T06A10.5	1	18	3	0	C1	1	0	Control
Gene:WBGene00045537:NA:21ur-3280, F44E8.2:piRNA	21ur-3280, F44E8.2	1	20	1	0	C1	0	1	Control
Gene:WBGene00045542:NA:21ur-194, Y105C5B.33:piRNA	21ur-194, Y105C5B.33	2	4	3	1	C1	1	0	Control
Gene:WBGene00045553:NA:21ur-4396, H12I19.10:piRNA	21ur-4396, H12I19.10	2	2	1	1	C1	0	1	Control
Gene:WBGene00045553:NA:21ur-4396, H12I19.10:piRNA	21ur-4396, H12I19.10	2	8	1	1	C1	0	1	Control
Gene:WBGene00045553:NA:21ur-4396, H12I19.10:piRNA	21ur-4396, H12I19.10	2	12	3	1	C1	0	1	Control
Gene:WBGene00045558:NA:21ur-4358, C47A4.8:piRNA	21ur-4358, C47A4.8	2	10	1	1	C1	0	1	Control
Gene:WBGene00045559:NA:21ur-4032, Y116A8C.54:piRNA	21ur-4032, Y116A8C.54	1	20	1	0	C1	0	1	Control
Gene:WBGene00045571:NA:21ur-3283, Y73F8A.43:piRNA	21ur-3283, Y73F8A.43	1	20	1	0	C1	1	0	Control
